          68         136 (0.272086111827886,3.684238809925044E-017)
          68         137 (1.277678906131314E-003,3.125390203732670E-017)
          68         138 (2.122384733968661E-002,8.999193627918096E-018)
          68         139 (-1.921067854603800E-003,-8.253056575392830E-017)
          68         140 (-3.117937419226997E-003,-3.050959886492685E-017)
          68         141 (7.794440238815158E-004,9.289776518489873E-017)
          68         142 (2.065582244227203E-002,6.269669372757080E-017)
          68         143 (-2.217031224590179E-003,-1.320969528655711E-016)
          68         144 (-2.863967711634480E-003,8.155214486001808E-017)
          68         145 (-8.348713879393012E-003,2.712266297005814E-017)
          68         146 (0.214611974592858,2.026983117917096E-017)
          68         147 (-8.417697336510084E-003,-5.038448103558886E-017)
          68         148 (-0.212500666741322,-6.161868168109996E-017)
          68         149 (-7.538958754983053E-003,-5.039367335971749E-017)
          68         150 (0.211658920315383,-8.817916296783779E-017)
          68         151 (-8.012621953926423E-003,3.669869212967366E-017)
          68         152 (-0.211604208738672,-7.994524178537855E-017)
          68         153 (-2.778397816743845E-003,-1.376235340115114E-017)
          68         154 (-8.270804592266645E-003,5.252333542585638E-017)
          68         155 (3.492174435758551E-004,1.247086166163129E-016)
          68         156 (2.255353490292482E-002,1.594694017704610E-017)
          68         157 (-2.261259938913163E-003,-1.361847633591197E-016)
          68         158 (-8.066355957014401E-003,-9.918311423272807E-019)
          68         159 (5.630899062476543E-004,1.087556934053577E-016)
          68         160 (2.238477693285826E-002,-1.012496564373004E-016)
          68         161 (-5.964732062015269E-003,1.585130332850589E-017)
          68         162 (-0.149623309084200,-6.410220811006318E-017)
          68         163 (-6.125426922860130E-003,3.354281366885602E-018)
          68         164 (0.151360378151543,6.074157693324335E-017)
          68         165 (-6.689981153997918E-003,-2.335070394285927E-017)
          68         166 (-0.146562879923347,-5.536501291243709E-017)
          68         167 (-6.348469942440996E-003,-2.870877442877582E-017)
          68         168 (0.150395056986537,-8.525496087561355E-017)
          68         169 (-2.299703988903748E-004,-4.204830384351175E-017)
          68         170 (2.854712772656412E-002,2.930650473215216E-017)
          68         171 (-2.748284726917460E-003,-9.519350801989520E-017)
          68         172 (-1.799487604288244E-002,1.407679507215452E-017)
          68         173 (-8.980607568373202E-004,1.451227283143506E-017)
          68         174 (2.813426052800131E-002,4.833305688030034E-018)
          68         175 (-2.991573673664382E-003,-3.270381351148023E-017)
          68         176 (-1.793021902255352E-002,8.871761882703558E-018)
          68         177 (-4.399596281325665E-003,-8.788091101981656E-017)
          68         178 (7.837431457634235E-002,6.586454971795754E-018)
          68         179 (-3.956118086244115E-003,8.059708301420531E-018)
          68         180 (-7.365513824772188E-002,-5.596633790740301E-017)
          68         181 (-3.819558645183571E-003,-3.274576351934902E-018)
          68         182 (7.604701868105555E-002,1.593569619952717E-017)
          68         183 (-3.685227139635475E-003,-6.182078673267110E-018)
          68         184 (-7.301979399667742E-002,5.318239469223925E-017)
          68         185 (-3.530720440678763E-003,-1.580939916764024E-017)
          68         186 (-1.468990180421073E-002,-4.222172586374638E-017)
          68         187 (-2.322724124946744E-003,-1.547728347692820E-017)
          68         188 (2.137977729601285E-002,1.367413230536806E-017)
          68         189 (-3.021581339927027E-003,-5.484562367566818E-018)
          68         190 (-1.426248366626370E-002,-2.519075049019253E-017)
          68         191 (-2.136533883808971E-003,9.058751177340993E-017)
          68         192 (2.141639287267489E-002,1.514194703424591E-018)
          
          
          
          
          
          

          69          70 (-0.231541259832794,2.592262912474273E-017)
          69          71 (0.656276955668458,1.229899041627772E-016)
          69          72 (-2.678458504143284E-002,-7.521622656773051E-017)
          69          73 (1.679588446913586E-002,7.624099878181051E-017)
          69          74 (-0.600930339489582,7.351310209526079E-017)
          69          75 (5.200810629193599E-002,-3.042773904082879E-017)
          69          76 (-0.817867898004459,6.960840453223448E-017)
          69          77 (-0.174791319038087,2.080632364045949E-016)
          69          78 (-0.814241322687452,-1.299597489674164E-017)
          69          79 (5.269531594763529E-002,-4.411582029690076E-017)
          69          80 (-0.601163405535396,-2.096755379638536E-016)
          69          81 (0.561234462287969,6.123435771556761E-017)
          69          82 (-3.141275500319141E-002,1.027273626571047E-016)
          69          83 (0.596189311586837,-1.211697322913031E-016)
          69          84 (1.040089526500381E-002,-7.263412335115102E-017)
          69          85 (0.628694336321327,3.742551383977803E-016)
          69          86 (9.774038326897131E-003,6.694065911379826E-017)
          69          87 (0.591906291001348,-2.692856738993474E-016)
          69          88 (-3.062081192790360E-002,9.471990847750765E-017)
          69          89 (3.116503639987992E-002,2.881392453046661E-017)
          69          90 (-0.535598061741053,-8.509845639953586E-017)
          69          91 (-1.543568680795708E-002,4.373363967876499E-017)
          69          92 (-0.552816083528066,9.240261755103759E-017)
